-------------------------------------------------
   HGHT            TEMP             PRES
    km              K                 bar
-------------------------------------------------
256.3152     181.5567   2.3136e-04     
256.1561     181.2722   2.3212e-04     
255.9968     181.2190   2.3289e-04     
255.8378     181.1777   2.3366e-04     
255.6788     180.9688   2.3443e-04     
255.5198     180.7100   2.3520e-04     
255.3604     180.7524   2.3598e-04     
255.2008     181.2420   2.3677e-04     
255.0417     181.7543   2.3755e-04     
254.8829     181.8551   2.3833e-04     
254.7240     181.6333   2.3911e-04     
254.5652     181.2759   2.3990e-04     
254.4062     180.9452   2.4069e-04     
254.2469     180.8656   2.4149e-04     
254.0876     181.0527   2.4229e-04     
253.9284     181.3675   2.4309e-04     
253.7694     181.5637   2.4389e-04     
253.6106     181.4669   2.4469e-04     
253.4514     181.3881   2.4550e-04     
253.2920     181.6720   2.4631e-04     
253.1329     182.0561   2.4713e-04     
252.9739     182.2428   2.4794e-04     
252.8150     182.2639   2.4875e-04     
252.6560     182.2674   2.4957e-04     
252.4968     182.3829   2.5039e-04     
252.3378     182.5062   2.5121e-04     
252.1790     182.4047   2.5204e-04     
252.0203     182.0302   2.5286e-04     
251.8615     181.5467   2.5370e-04     
251.7025     181.1984   2.5454e-04     
251.5431     181.2305   2.5538e-04     
251.3835     181.7358   2.5623e-04     
251.2242     182.4344   2.5707e-04     
251.0653     182.8658   2.5791e-04     
250.9067     182.8091   2.5876e-04     
250.7480     182.4573   2.5961e-04     
250.5890     182.2030   2.6046e-04     
250.4299     182.1592   2.6132e-04     
250.2711     182.0527   2.6218e-04     
250.1123     181.7524   2.6304e-04     
249.9533     181.5091   2.6391e-04     
249.7940     181.5688   2.6479e-04     
249.6348     181.8628   2.6566e-04     
249.4759     182.0505   2.6654e-04     
249.3172     181.9005   2.6741e-04     
249.1584     181.6174   2.6830e-04     
248.9992     181.5558   2.6919e-04     
248.8401     181.6956   2.7008e-04     
248.6811     181.8096   2.7097e-04     
248.5223     181.7838   2.7186e-04     
248.3633     181.7395   2.7276e-04     
248.2042     181.8607   2.7366e-04     
248.0452     182.0420   2.7457e-04     
247.8863     182.0931   2.7547e-04     
247.7274     182.0557   2.7638e-04     
247.5684     182.1149   2.7729e-04     
247.4091     182.4409   2.7821e-04     
247.2500     182.8503   2.7913e-04     
247.0915     182.8936   2.8004e-04     
246.9330     182.5145   2.8096e-04     
246.7742     182.0975   2.8189e-04     
246.6149     182.0619   2.8282e-04     
246.4557     182.3707   2.8375e-04     
246.2969     182.5683   2.8469e-04     
246.1383     182.4248   2.8562e-04     
245.9796     182.0951   2.8657e-04     
245.8208     181.7987   2.8751e-04     
245.6619     181.6072   2.8846e-04     
245.5031     181.4093   2.8942e-04     
245.3440     181.3290   2.9038e-04     
245.1846     181.6314   2.9135e-04     
245.0254     182.1187   2.9231e-04     
244.8668     182.3436   2.9328e-04     
244.7084     182.0939   2.9424e-04     
244.5498     181.5957   2.9521e-04     
244.3907     181.3454   2.9620e-04     
244.2316     181.4322   2.9718e-04     
244.0726     181.5886   2.9817e-04     
243.9136     181.7739   2.9916e-04     
243.7546     182.0109   3.0015e-04     
243.5959     182.1417   3.0114e-04     
243.4373     182.0502   3.0213e-04     
243.2785     181.8500   3.0313e-04     
243.1196     181.7710   3.0414e-04     
242.9604     181.9526   3.0515e-04     
242.8015     182.2218   3.0616e-04     
242.6428     182.2950   3.0717e-04     
242.4841     182.1841   3.0818e-04     
242.3254     182.0544   3.0920e-04     
242.1665     181.9650   3.1023e-04     
