HGHT (km)		TEMP (K)		PRES (hPa)
2.566E+02		1.805E+02		2.154E-01
2.564E+02		1.804E+02		2.161E-01
2.563E+02		1.803E+02		2.168E-01
2.561E+02		1.802E+02		2.175E-01
2.559E+02		1.802E+02		2.183E-01
2.558E+02		1.804E+02		2.190E-01
2.556E+02		1.807E+02		2.197E-01
2.555E+02		1.809E+02		2.204E-01
2.553E+02		1.808E+02		2.212E-01
2.552E+02		1.804E+02		2.219E-01
2.550E+02		1.802E+02		2.226E-01
2.548E+02		1.803E+02		2.234E-01
2.547E+02		1.803E+02		2.241E-01
2.545E+02		1.803E+02		2.249E-01
2.544E+02		1.802E+02		2.256E-01
2.542E+02		1.802E+02		2.263E-01
2.540E+02		1.804E+02		2.271E-01
2.539E+02		1.806E+02		2.279E-01
2.537E+02		1.807E+02		2.286E-01
2.536E+02		1.808E+02		2.294E-01
2.534E+02		1.807E+02		2.301E-01
2.532E+02		1.805E+02		2.309E-01
2.531E+02		1.803E+02		2.316E-01
2.529E+02		1.803E+02		2.324E-01
2.528E+02		1.803E+02		2.332E-01
2.526E+02		1.802E+02		2.340E-01
2.524E+02		1.799E+02		2.347E-01
2.523E+02		1.797E+02		2.355E-01
2.521E+02		1.797E+02		2.363E-01
2.520E+02		1.799E+02		2.371E-01
2.518E+02		1.803E+02		2.379E-01
2.517E+02		1.804E+02		2.387E-01
2.515E+02		1.803E+02		2.395E-01
2.513E+02		1.798E+02		2.403E-01
2.512E+02		1.794E+02		2.411E-01
2.510E+02		1.794E+02		2.419E-01
2.509E+02		1.797E+02		2.427E-01
2.507E+02		1.800E+02		2.435E-01
2.505E+02		1.802E+02		2.443E-01
2.504E+02		1.802E+02		2.451E-01
2.502E+02		1.801E+02		2.459E-01
2.501E+02		1.801E+02		2.467E-01
2.499E+02		1.801E+02		2.476E-01
2.497E+02		1.801E+02		2.484E-01
2.496E+02		1.799E+02		2.492E-01
2.494E+02		1.796E+02		2.501E-01
2.493E+02		1.792E+02		2.509E-01
2.491E+02		1.794E+02		2.517E-01
2.490E+02		1.799E+02		2.526E-01
2.488E+02		1.803E+02		2.534E-01
2.486E+02		1.803E+02		2.543E-01
2.485E+02		1.802E+02		2.551E-01
2.483E+02		1.802E+02		2.560E-01
2.482E+02		1.802E+02		2.568E-01
2.480E+02		1.799E+02		2.577E-01
2.478E+02		1.796E+02		2.585E-01
2.477E+02		1.794E+02		2.594E-01
2.475E+02		1.794E+02		2.603E-01
2.474E+02		1.795E+02		2.611E-01
2.472E+02		1.797E+02		2.620E-01
2.470E+02		1.799E+02		2.629E-01
2.469E+02		1.799E+02		2.638E-01
2.467E+02		1.797E+02		2.646E-01
2.466E+02		1.797E+02		2.655E-01
2.464E+02		1.799E+02		2.664E-01
2.463E+02		1.801E+02		2.673E-01
2.461E+02		1.801E+02		2.682E-01
2.459E+02		1.799E+02		2.691E-01
